8502,3010,0,11539,23051
3719,11578,10997,1007,27301
3204,2766,1233,490,7693
413,2033,0,0,2446
44,249,0,0,293
3028,34,0,9521,12583
2867,1,0,111,2979
2151,2019,0,1709,5879
5354,2972,0,1786,10112
5605,3077,19,9152,17853
2593,20288,18000,1365,42246
4371,4020,2572,563,11526
102,1156,0,0,1258
85,1018,0,0,1103
1416,8,0,6678,8102
1200,85,22,2486,3793
1261,723,0,564,2548
4325,3068,19,2659,10071
8243,3781,0,9956,21980
993,6588,5592,998,14171
4029,3794,2565,498,10886
865,3016,0,0,3881
292,3110,0,0,3402
1210,9,0,6586,7805
2713,18,18,3578,6327
5987,5859,0,5368,17214
7118,3772,0,3611,14501
51966,18076,188,33396,103626
77081,80611,80611,353,238656
14160,12473,8960,561,36154
11109,14678,0,0,25787
12277,8642,0,0,20919
25931,0,0,30987,56918
4740,7275,5099,3758,20872
429,414,0,338,1181
25598,18076,188,1795,45657
9510,3823,10,14501,27844
3542,17364,16554,1150,38610
3698,3516,2814,239,10267
1210,3911,0,0,5121
189,2307,0,0,2496
2875,60,0,10888,13823
1916,80,79,3629,5704
11399,10093,0,9714,31206
6639,3763,10,3346,13758
4608,2058,2,2478,9146
1392,1712,1682,417,5203
1293,1251,513,343,3400
152,1433,0,0,1585
6,250,0,0,256
749,0,0,1544,2293
1625,6,6,1080,2717
4529,4468,0,4333,13330
3844,2058,2,986,6890
3451,1322,0,3202,7975
2078,2799,2643,726,8246
1372,1218,525,352,3467
81,315,0,0,396
5,63,0,0,68
911,1,0,2373,3285
1368,29,29,1161,2587
1118,1062,0,867,3047
2547,1321,0,837,4705
48610,19309,57,56200,124176
25090,93561,90955,8717,218323
36435,33228,19799,4699,94161
12282,28585,0,0,40867
6165,5910,0,0,12075
10656,18,0,43730,54404
11868,463,378,20069,32778
10408,9723,0,8592,28723
37997,19291,57,12614,69959
